sample_id,视频文件名,视频标题,商品/服务类别,来源,采集日期,视频时长_秒,文案摘要
95,95.mp4,切片95 · 普通化妆品 · 韩束品牌618及520大促直播广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束品牌618及520大促直播广告，主推红蛮腰抗皱紧致礼盒与377美白亮白棒，强调官方正品、破价优惠及买赠福利。
96,96.mp4,切片96 · 普通化妆品 · 韩束官方旗舰店直播推广红蛮腰护肤礼盒,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束官方旗舰店直播推广红蛮腰护肤礼盒，主打618破价促销，包含水乳精华面霜等正装及大量赠品，强调全球环六肽首创者身份。
97,97.mp4,切片97 · 普通化妆品 · 韩束红蛮腰礼盒618大促直播广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束红蛮腰礼盒618大促直播广告，主打全球自研环六肽护肤科技，包含水乳霜及次抛精华等全套护肤产品，限时破价优惠并赠送多件赠品。
98,98.mp4,切片98 · 普通化妆品 · 韩束618大促直播间展示红蛮腰护肤礼盒,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.96,韩束618大促直播间展示红蛮腰护肤礼盒，主打美白抗皱功效，包含水乳精华面霜及亮白棒赠品，强调官方正品与超值优惠。
99,99.mp4,切片99 · 普通化妆品 · 韩束品牌618促销活动广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束品牌618促销活动广告，主推红蛮腰护肤礼盒及377美白精华，强调全球环六肽首创者身份及超值赠品优惠。
100,100.mp4,切片100 · 普通化妆品 · 韩束618破价促销活动,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.91,韩束618破价促销活动，主推377亮白棒及红蛮腰礼盒套装，强调买一送一优惠及全球首创环六肽技术，主打美白护肤功效。
101,101.mp4,切片101 · 普通化妆品 · 韩束官方直播间正在进行618破价促销活动,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,韩束官方直播间正在进行618破价促销活动，主推红蛮腰礼盒套装，包含水乳霜及377亮白棒等，强调全球环六肽首创者身份及工厂直售低价。
102,102.mp4,切片102 · 普通化妆品 · 韩束品牌618直播促销广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束品牌618直播促销广告，主推红蛮腰礼盒套装，包含377亮白棒、面霜、水乳及防晒等护肤品，主打美白抗老功效并强调工厂直售低价。
103,103.mp4,切片103 · 普通化妆品 · 韩束品牌618大促直播广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束品牌618大促直播广告，主推红蛮腰礼盒套装，包含377亮白棒、水乳及面霜等面部护肤品，强调抗皱紧致与美白功效。
104,104.mp4,切片104 · 普通化妆品 · 韩束品牌618促销直播,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束品牌618促销直播，主打红蛮腰礼盒及377亮白棒等面部护肤产品，强调美白抗皱功效与超值优惠。
105,105.mp4,切片105 · 普通化妆品 · 韩束品牌618促销活动直播广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束品牌618促销活动直播广告，主推红蛮腰礼盒套装及377亮白棒，强调美白防晒、抗皱紧致功效及限时破价优惠。
106,106.mp4,切片106 · 普通化妆品 · 韩束品牌618大促直播,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束品牌618大促直播，主推红蛮腰礼盒套装及377亮白棒，强调美白功效与超值赠品。
107,107.mp4,切片107 · 普通化妆品 · 韩束直播间推广618及520节红蛮腰礼盒套装,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束直播间推广618及520节红蛮腰礼盒套装，主打抗皱紧致与美白功效，宣称买一送一并赠送多件正装及美白棒，强调全球环六肽首创者身份。
108,108.mp4,切片108 · 普通化妆品 · 韩束品牌618大促直播带货,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束品牌618大促直播带货，主打红蛮腰抗皱美白礼盒及377亮白棒，强调买一送多、破价优惠及工厂直售。
109,109.mp4,切片109 · 普通化妆品 · 韩束品牌618促销活动直播,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,韩束品牌618促销活动直播，主推377亮白棒及红蛮腰护肤礼盒，强调全球环六肽首创者身份与超值赠品。
110,110.mp4,切片110 · 普通化妆品 · 韩束红蛮腰4.0护肤套装广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束红蛮腰4.0护肤套装广告，主打抗皱紧致、美白祛斑、补水保湿等多重功效，宣称全球首创环六肽，适合改善皱纹、暗沉等肌肤问题。
111,111.mp4,切片111 · 普通化妆品 · 韩束官方旗舰店618大促直播,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束官方旗舰店618大促直播，主推红蛮腰礼盒及377亮白棒，主打美白、抗皱紧致功效，提供总监专属赠品及低价优惠。
112,112.mp4,切片112 · 普通化妆品 · 韩束红蛮腰大礼盒618年中狂欢促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束红蛮腰大礼盒618年中狂欢促销，主打抗皱紧致、补水修护及美白提亮等多重功效，宣称全球环六肽首创者，适合多年龄段肤质使用。
113,113.mp4,切片113 · 普通化妆品 · 韩束红蛮腰礼盒618破价促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束红蛮腰礼盒618破价促销，主打抗皱紧致与美白功效，包含水乳霜及377亮白棒等丰富赠品。
114,114.mp4,切片114 · 普通化妆品 · 韩束品牌直播间推广“红蛮腰”抗皱礼盒及377美白棒套装,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束品牌直播间推广“红蛮腰”抗皱礼盒及377美白棒套装，主打618促销破价、全球首创环六肽及买一送一超值优惠。
115,115.mp4,切片115 · 普通化妆品 · 韩束红蛮腰护肤品套装直播促销广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束红蛮腰护肤品套装直播促销广告，主打美白抗皱功效，包含水乳霜精华等多件产品，宣称全球环六肽首创者，直播间限时低价特惠。
116,116.mp4,切片116 · 普通化妆品 · 韩束红蛮腰护肤套组直播促销广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束红蛮腰护肤套组直播促销广告，主打全新升级环六肽成分，宣称14天紧致淡纹提亮，包含水乳精华面霜等全套产品。
117,117.mp4,切片117 · 普通化妆品 · 韩束品牌直播间推广红蛮腰护肤礼盒套装,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束品牌直播间推广红蛮腰护肤礼盒套装，主打全新升级环六肽成分，宣称具有紧致淡纹、提亮美白功效，并提供618破价优惠及赠品活动。
118,118.mp4,切片118 · 普通化妆品 · 韩束红蛮腰护肤套盒直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.91,韩束红蛮腰护肤套盒直播促销，主打抗皱紧致功效，宣称拥有SGS权威评估及14天改善纹路效果，并赠送多件正装产品。
119,119.mp4,切片119 · 普通化妆品 · 韩束红蛮腰第二代4.0版护肤品礼盒直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束红蛮腰第二代4.0版护肤品礼盒直播促销，主打14天改善10大纹路、提亮保湿修护功效，展示SGS权威检测报告，限时特惠359元。
120,120.mp4,切片120 · 普通化妆品 · 韩束红蛮腰第二代4.0版护肤套装广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束红蛮腰第二代4.0版护肤套装广告，主打全新升级环六肽成分，宣称14天紧致淡纹提亮，直播促销价359元。
121,121.mp4,切片121 · 普通化妆品 · 韩束官方直播间推广红蛮腰护肤礼盒套装,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束官方直播间推广红蛮腰护肤礼盒套装，主打377亮白棒及环六肽抗皱紧致功效，强调美白、补水、修护等多重护肤体验。
122,122.mp4,切片122 · 普通化妆品 · 韩束官方旗舰店直播促销红蛮腰大礼盒及377亮白棒,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束官方旗舰店直播促销红蛮腰大礼盒及377亮白棒，主打美白防晒、紧致淡纹功效，强调高性价比与赠品丰富。
123,123.mp4,切片123 · 普通化妆品 · 韩束官方旗舰店直播推销红蛮腰护肤礼盒及377美白棒,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束官方旗舰店直播推销红蛮腰护肤礼盒及377美白棒，主打抗皱紧致、补水修护及美白功效，强调明星推荐与限时优惠价格。
124,124.mp4,切片124 · 普通化妆品 · 韩束红蛮腰大礼盒直播促销广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束红蛮腰大礼盒直播促销广告，主打环六肽抗皱紧致及377美白功效，强调限时破价优惠及多重赠品。
125,125.mp4,切片125 · 普通化妆品 · 韩束红蛮腰礼盒直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束红蛮腰礼盒直播促销，主打抗皱紧致与美白功效，赠送亮白棒及防晒等丰富赠品，强调618抢先购低价。
126,126.mp4,切片126 · 普通化妆品 · 韩束直播间推广红蛮腰护肤套装,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,韩束直播间推广红蛮腰护肤套装，主打全新升级环六肽成分，宣称14天紧致淡纹提亮，并提供总监破价优惠及赠品活动。
127,127.mp4,切片127 · 普通化妆品 · 韩束品牌直播带货,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束品牌直播带货，主推红蛮腰礼盒套装及377亮白棒等护肤品，强调全球环六肽首创者身份，主打紧致淡纹功效，并配合618大促活动提供破价优惠与赠品。
128,128.mp4,切片128 · 普通化妆品 · 韩束红蛮腰4.0护肤套装直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束红蛮腰4.0护肤套装直播促销，主打全新升级环六肽成分，具备抗皱紧致、提亮肤色、美白祛斑等多重功效，适合全肤质人群使用。
129,129.mp4,切片129 · 普通化妆品 · 韩束品牌在直播间推广红蛮腰护肤礼盒,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,韩束品牌在直播间推广红蛮腰护肤礼盒，主打14天紧致淡纹提亮功效，通过展示SGS权威测试报告证明改善10大纹路的实力，并提供399元的618限时特惠价格及赠品。
130,130.mp4,切片130 · 视听设备 · 海尔官方旗舰店直播推广海尔麦浪系列智能家电,0901-视听设备,教师提供公开直播/短视频广告切片,2026-09-04,29.94,海尔官方旗舰店直播推广海尔麦浪系列智能家电，重点展示电视的低蓝光护眼模式、AI人像增强及智能体服务功能，同时提及AI智慧浴室燃气热水器。
131,131.mp4,切片131 · 厨卫电器 · 海尔官方旗舰店直播推广冰箱与油烟机等产品,0904-厨卫电器,教师提供公开直播/短视频广告切片,2026-09-04,29.93,海尔官方旗舰店直播推广冰箱与油烟机等产品，强调冰箱黄金湿度保鲜功能及麦浪系列烟机超薄设计与AI智能控烟科技。
132,132.mp4,切片132 · 文体娱乐产品 · 鲸栖户外旗舰店直播带货鲸栖翘二代钓竿,1216-文体娱乐产品,教师提供公开直播/短视频广告切片,2026-09-04,29.9,鲸栖户外旗舰店直播带货鲸栖翘二代钓竿，主打东丽高碳材质与极硬调性，限时限量发售并赠送礼品。
133,133.mp4,切片133 · 保健食品 · 汤臣倍健蛋白粉直播间特价促销,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,汤臣倍健蛋白粉直播间特价促销，主打0胆固醇、0乳糖、低脂肪，电商总监空降带货，强调营养补充与活力健康。
134,134.mp4,切片134 · 保健食品 · 汤臣倍健官方旗舰店母亲节专场直播,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,汤臣倍健官方旗舰店母亲节专场直播，主推旗舰蓝罐臻钻蛋白粉。强调产品0胆固醇、0乳糖、低脂肪及高纯度蛋白含量，适合高血压和糖尿病患者食用，并提供官方授权正品保证及运费险。
135,135.mp4,切片135 · 保健食品 · 汤臣倍健母亲节专场直播,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,汤臣倍健母亲节专场直播，主推臻钻蛋白粉，强调0胆固醇、0乳糖、高纯度及高消化率，适合术后恢复及老年人营养补充，购买即赠摇摇杯等礼品。
136,136.mp4,切片136 · 保健食品 · 汤臣倍健母亲节专场直播,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,汤臣倍健母亲节专场直播，主打旗舰蓝罐臻钻蛋白粉，强调90%高纯度、0胆固醇、0乳糖及高消化率，适合健身、孕期及中老年人群。
137,137.mp4,切片137 · 普通化妆品 · 韩束官方旗舰店母亲节直播促销,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,韩束官方旗舰店母亲节直播促销，主推红蛮腰抗皱紧致礼盒及377亮白棒，主打送妈妈送礼场景，强调包装精致及官方正品保障。
138,138.mp4,切片138 · 其他 · 大云山黑凤土鸡蛋直播促销广告,0510-其他,教师提供公开直播/短视频广告切片,2026-09-04,29.93,大云山黑凤土鸡蛋直播促销广告，主打高山散养、营养丰富、蛋香浓郁及24小时现产现发。
139,139.mp4,切片139 · 小家电产品 · 作业帮X60Ultra学习平板新品首发,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.96,作业帮X60Ultra学习平板新品首发，主打AI贴身家教与伴学功能，支持AI诊断规划及精准查缺补漏，助力孩子高效学习。
140,140.mp4,切片140 · 小家电产品 · 石头科技A30 Pro 2.0洗地机新品直播推广,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,石头科技A30 Pro 2.0洗地机新品直播推广，主打超能暴风洗、AI智感全向助力及95℃高温自清洁功能，强调高效除菌与强劲吸力。
141,141.mp4,切片141 · 计算机及配套设备 · 作业帮X60Ultra学习机广告,1206-计算机及配套设备,教师提供公开直播/短视频广告切片,2026-09-04,29.93,作业帮X60Ultra学习机广告，主打AI贴身家教与1对1互动功能，强调内置资源免费、7天免费试用及国补优惠。
142,142.mp4,切片142 · 小家电产品 · 石头科技A30 Pro Steam 2.0洗地机直播促销…,0906-小家电产品,教师提供公开直播/短视频广告切片,2026-09-04,29.96,石头科技A30 Pro Steam 2.0洗地机直播促销广告，主打180℃高温蒸汽与90℃热水双效洗地功能，强调25000Pa强劲吸力及超长续航，提供限时优惠价格。
143,143.mp4,切片143 · 卫生用品 · 凸凸棉无感PRO卫生巾直播广告,1204-卫生用品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,凸凸棉无感PRO卫生巾直播广告，主打首创中凸芯设计符合人体工学，采用1.0D超柔纤维，具备30倍瞬吸防侧漏功能，强调无感舒适体验。
144,144.mp4,切片144 · 卫生用品 · 凸凸棉无感PRO卫生巾直播促销,1204-卫生用品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,凸凸棉无感PRO卫生巾直播促销，主打人体工学无感体验、10D超柔纤维及中凸瞬吸芯防漏技术，购买即赠三层磁吸收纳柜。
145,145.mp4,切片145 · 宠物产品 · 卫仕爆爆罐宠物食品广告,1220-宠物产品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,卫仕爆爆罐宠物食品广告，主打温和排毛、美毛爆毛功效，通过直播形式展示产品卖点及买3送4的优惠活动。
146,146.mp4,切片146 · 宠物产品 · 卫仕爆爆罐猫主食罐头广告,1220-宠物产品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,卫仕爆爆罐猫主食罐头广告，主打青汁乳酪流心配方，宣称能温和排毛、美毛爆毛并解决猫咪挑食问题。
147,147.mp4,切片147 · 保健食品 · 汤臣倍健官方旗舰店直播推销蛋白粉,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,汤臣倍健官方旗舰店直播推销蛋白粉，主打0糖0胆固醇、90%高纯度及高消化率，强调只补蛋白质不补负担，适合孕期及日常营养补充。
148,148.mp4,切片148 · 其他 · 燕之屋直播带货宣传鲜炖燕窝产品,0510-其他,教师提供公开直播/短视频广告切片,2026-09-04,29.94,燕之屋直播带货宣传鲜炖燕窝产品，展示品牌销售第一的市场地位及人体试食效果试验证书，强调滋补滋养功效。
149,149.mp4,切片149 · 其他 · 燕之屋直播间促销鲜炖燕窝,0510-其他,教师提供公开直播/短视频广告切片,2026-09-04,29.93,燕之屋直播间促销鲜炖燕窝，强调日常保养与孕期滋养功效，并引导观众领取红包优惠购买。
150,150.mp4,切片150 · 保健食品 · BECHI品牌宣传其进口“肺细胞5.0”产品,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,BECHI品牌宣传其进口“肺细胞5.0”产品，主打肺部养护与细胞级营养，直播间正在进行买一送一的促销活动。
151,151.mp4,切片151 · 清洁用品 · 宝洁官方直播间推广汰渍去渍洗衣液,1205-清洁用品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,宝洁官方直播间推广汰渍去渍洗衣液，主打蒸汽般层层净透、全效360度除菌除螨功能，年货节期间提供专属红包与优惠价格。
152,152.mp4,切片152 · 保健食品 · 直播推广西班牙进口品牌BECHI拜其的FloraBoos…,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,直播推广西班牙进口品牌BECHI拜其的FloraBoost营养品，宣称是商务部指定及奥运合作品牌，主打细胞营养科技，正在进行买1套送1套的促销活动。
153,153.mp4,切片153 · 清洁用品 · 宝洁官方直播间正在推广碧浪除菌抑菌洗衣液,1205-清洁用品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,宝洁官方直播间正在推广碧浪除菌抑菌洗衣液，主打强力除菌、去渍及全新首创香味，提供年末好价优惠。
154,154.mp4,切片154 · 通信设备 · 荣耀WIN系列手机直播推广,0903-通信设备,教师提供公开直播/短视频广告切片,2026-09-04,29.9,荣耀WIN系列手机直播推广，主打超神性能双旗舰，强调185Hz电竞屏、涡轮散热及10000mAh大电池等核心卖点。
155,155.mp4,切片155 · 其他 · 燕之屋鲜炖燕窝直播带货,0510-其他,教师提供公开直播/短视频广告切片,2026-09-04,29.92,燕之屋鲜炖燕窝直播带货，主打连续九年高端燕窝销售第一，强调开盖即食、新鲜滋养及人体试食效果试验认证。
156,156.mp4,切片156 · 其他 · 燕之屋品牌鲜炖燕窝直播推广,0510-其他,教师提供公开直播/短视频广告切片,2026-09-04,29.93,燕之屋品牌鲜炖燕窝直播推广，主打27年专注高品质燕窝，宣称经过人体试食实验验证，具有改善皮肤质量、保湿、提亮等功效，适合爱美女性及备孕孕期人群食用。
157,157.mp4,切片157 · 其他 · 燕之屋官方旗舰店直播促销鲜炖燕窝,0510-其他,教师提供公开直播/短视频广告切片,2026-09-04,29.93,燕之屋官方旗舰店直播促销鲜炖燕窝，主打27年专注高品质，宣称经人体试食实验验证28天可改善皮肤质量，针对孕期、爱美及养生人群提供周期配送服务。
158,158.mp4,切片158 · 保健食品 · 主播推荐维生素B族保健品,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,主播推荐维生素B族保健品，宣称有助于修护黏膜、改善脱发、出油长痘及代谢差等问题，适合女性及亚健康人群。
159,159.mp4,切片159 · 保健食品 · 主播推广悦心牌排燃胶囊,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,主播推广悦心牌排燃胶囊，宣称白天排油晚上燃脂，有助于控制体内脂肪，且蓝帽认证正品保障。
160,160.mp4,切片160 · 保健食品 · 主播在直播间推销千泉普洱荷叶绞股蓝茶,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.9,主播在直播间推销千泉普洱荷叶绞股蓝茶，产品包装上印有蓝帽子标志和“保健功能：有助于控制体内脂肪”字样，主打辅助减肥和控制体重。
161,161.mp4,切片161 · 保健食品 · 广告推销一款名为普洱荷叶绞股蓝茶的减肥产品,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,30.0,广告推销一款名为普洱荷叶绞股蓝茶的减肥产品，宣称有助于控制体重、不伤身体，适合各类人群饮用。
162,162.mp4,切片162 · 保健食品 · 直播推广氨糖类关节保健品,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.89,直播推广氨糖类关节保健品，引用权威期刊数据对比硫酸氨糖与盐酸氨糖效果，强调硫酸氨糖对缓解关节磨损更有效，同时声明产品不代替药品。
163,163.mp4,切片163 · 保健用品 · 振德品牌医用治疗型静脉曲张袜广告,1201-保健用品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,振德品牌医用治疗型静脉曲张袜广告，主播通过讲解压力袜的适用范围及测量方法，推广缓解腿部酸麻肿胀、红血丝等症状的压力袜产品。
164,164.mp4,切片164 · 保健食品 · 直播推广悦心牌茯苓泽泻胶囊,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,直播推广悦心牌茯苓泽泻胶囊，主打饭前服用排油燃脂，宣称不忌嘴、不伤身体，具有控制体内脂肪的保健功能。
165,165.mp4,切片165 · 保健食品 · 直播推销悦心牌泽泻胶囊,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.9,直播推销悦心牌泽泻胶囊，主打中式减肥、有助于控制体内脂肪且不拉肚子，声称适合三高人群及做过心脏手术者食用。
166,166.mp4,切片166 · 普通化妆品 · 直播带货推广NFX品牌护肤精华油,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,直播带货推广NFX品牌护肤精华油，主播通过讲解按摩手法和“疏通”概念，配合产品特写展示，强调其深润保湿与美容功效。
167,167.mp4,切片167 · 普通化妆品 · 百花诺言臻颜抗皱菁华液广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.96,百花诺言臻颜抗皱菁华液广告，主打抗皱紧致功效，宣称无铅汞激素，适合敏感肌修护，并展示权威检测报告证明其安全性与有效性。
168,168.mp4,切片168 · 特殊化妆品 · 主播直播推广江南印象防脱洗发水,0302-特殊化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,主播直播推广江南印象防脱洗发水，展示国家药监局特殊化妆品注册证，主打强韧发质、防脱育发功效。
169,169.mp4,切片169 · 其他 · 西麦官方旗舰店直播促销,0510-其他,教师提供公开直播/短视频广告切片,2026-09-04,29.91,西麦官方旗舰店直播促销，主推高钙牛奶燕麦片、五黑谷物燕麦片等冲饮食品，强调富含膳食纤维与蛋白质，提供大额优惠券及赠品活动。
170,170.mp4,切片170 · 保健食品 · 直播间推广百合康牌玫瑰花红景天提取物片,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,直播间推广百合康牌玫瑰花红景天提取物片，宣称拥有国家蓝帽认证，主打内调祛黄褐斑功效。
171,171.mp4,切片171 · 保健食品 · 主播在直播间推广百合康牌玫瑰花红花葡萄籽提取物片,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,主播在直播间推广百合康牌玫瑰花红花葡萄籽提取物片，宣称该产品拥有国家蓝帽子认证，专门针对女性因内分泌失调引起的黄褐斑，强调其内调去斑效果优于普通护肤品。
172,172.mp4,切片172 · 特殊化妆品 · HBN原白霜2.0直播带货广告,0302-特殊化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,HBN原白霜2.0直播带货广告，展示产品特证证明其具备美白祛斑功效，主打淡化黄褐斑和老年斑，强调科学美白更安心。
173,173.mp4,切片173 · 保健食品 · 汤臣倍健母亲节专场直播推广蛋白粉产品,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,汤臣倍健母亲节专场直播推广蛋白粉产品，主打0胆固醇、0乳糖、低脂及高纯度高蛋白卖点，强调累计销量破1.6亿罐。
174,174.mp4,切片174 · 普通化妆品 · 韩束红蛮腰礼盒广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,韩束红蛮腰礼盒广告，主打抗皱紧致、美白祛斑及补水保湿功效，作为母亲节礼物促销，强调高性价比与多重护肤功能。
175,175.mp4,切片175 · 普通化妆品 · 敷尔佳清痘膜广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.92,敷尔佳清痘膜广告，主打诺贝尔超分子技术，宣称15分钟速褪红、淡化痘印，专为油痘肌设计的修护面膜。
176,176.mp4,切片176 · 普通化妆品 · 敷尔佳清痘净肤修护贴2.0系列广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,敷尔佳清痘净肤修护贴2.0系列广告，主打诺贝尔超分子技术和苦参碱水杨酸盐成分，宣称能深层渗透、温和祛痘淡印。
177,177.mp4,切片177 · 普通化妆品 · 珀莱雅源力精华3.0直播带货广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,珀莱雅源力精华3.0直播带货广告，主打重组胶原蛋白成分，宣称能15分钟快速褪红、修护敏感肌并7天焕新肤质。
178,178.mp4,切片178 · 普通化妆品 · 敷尔佳战痘面膜广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.96,敷尔佳战痘面膜广告，主打诺贝尔超分子技术，宣称能清痘淡印、抑制反复，适合油敏皮和混合肤质。
179,179.mp4,切片179 · 普通化妆品 · 敷尔佳品牌推出的祛痘修护面膜广告,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.94,敷尔佳品牌推出的祛痘修护面膜广告，主打诺贝尔超分子技术和独家专利原料苦参碱水杨酸盐，强调清痘淡印、抑制痘痘反复及温和高效的功效。
180,180.mp4,切片180 · 普通化妆品 · 敷尔佳2.0系列面膜直播推广,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,敷尔佳2.0系列面膜直播推广，主打诺贝尔超分子技术，宣称能快速清痘淡印、舒缓褪红，适合油敏皮及痘痘肌使用。
181,181.mp4,切片181 · 保健食品 · 汤臣倍健官方旗舰店直播推广蛋白粉,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.97,汤臣倍健官方旗舰店直播推广蛋白粉，主打零糖、零胆固醇、低脂肪，富含免疫蛋白，强调真材实料不代工。
182,182.mp4,切片182 · 保健食品 · BECHI海外旗舰店直播推广‘定向肺细胞’营养产品,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,BECHI海外旗舰店直播推广‘定向肺细胞’营养产品，宣称拥有多项专利支持，主打直达肺部、修复损伤及高吸收率，并提供买一送一优惠。
183,183.mp4,切片183 · 保健食品 · BECHI海外旗舰店直播推销专利肾细胞保健品,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.93,BECHI海外旗舰店直播推销专利肾细胞保健品，宣称针对慢性肾炎、肾损伤等人群，主打西班牙进口及买一送一促销。
184,184.mp4,切片184 · 保健食品 · BECHI品牌肾细胞保健食品直播促销,0601-保健食品,教师提供公开直播/短视频广告切片,2026-09-04,29.95,BECHI品牌肾细胞保健食品直播促销，主打2代肾细胞全面升级，提供买一送一及全程售后保障服务。
185,185.mp4,切片185 · 家具家私 · 欧派悬浮床采用头层牛皮与拉扣工艺,1208-家具家私,教师提供公开直播/短视频广告切片,2026-09-04,30.88,欧派悬浮床采用头层牛皮与拉扣工艺，兼具高级质感与悬浮底座设计，打造温馨舒适的卧室体验。
186,186.mp4,切片186 · 普通化妆品 · 推广马达加斯加琼崖海棠油及各类精油产品,0301-普通化妆品,教师提供公开直播/短视频广告切片,2026-09-04,32.03,推广马达加斯加琼崖海棠油及各类精油产品，展示其在护肤、护发及身体按摩方面的功效，并通过用户好评强调产品天然、滋润及改善肌肤状态的特点。
